x1,x2,x3,x4,x5,x6,x7,x8,x9,y
55,1,28.0,0,1-2 Year,Yes,39973.0,124.0,237,1
24,1,10.0,1,< 1 Year,No,18703.0,152.0,89,0
22,1,8.0,0,< 1 Year,Yes,30332.0,152.0,259,0
53,1,16.0,0,1-2 Year,Yes,26108.0,156.0,199,0
30,1,50.0,1,< 1 Year,No,24705.0,152.0,19,0
46,1,28.0,1,1-2 Year,Yes,50926.0,26.0,282,0
43,1,28.0,0,1-2 Year,Yes,21751.0,26.0,133,1
21,1,8.0,0,< 1 Year,Yes,24138.0,160.0,17,0
31,1,46.0,0,1-2 Year,Yes,28358.0,26.0,121,0
22,1,8.0,1,< 1 Year,No,22868.0,152.0,284,0
65,1,41.0,1,1-2 Year,No,34553.0,124.0,38,0
40,1,28.0,0,1-2 Year,No,25338.0,150.0,47,0
27,1,25.0,1,< 1 Year,No,2630.0,152.0,165,0
79,1,8.0,0,1-2 Year,No,40339.0,26.0,253,0
24,1,18.0,0,< 1 Year,Yes,31002.0,154.0,295,0
23,1,18.0,1,< 1 Year,No,2630.0,160.0,227,0
25,1,30.0,1,1-2 Year,No,2630.0,124.0,99,0
35,1,28.0,1,1-2 Year,No,54327.0,124.0,167,0
31,1,23.0,0,1-2 Year,Yes,2630.0,124.0,92,1
46,1,23.0,0,1-2 Year,Yes,27565.0,124.0,158,0
39,1,8.0,1,1-2 Year,No,32207.0,124.0,285,0
28,1,41.0,1,< 1 Year,No,39004.0,152.0,36,0
64,1,28.0,0,1-2 Year,Yes,24545.0,26.0,149,0
49,1,28.0,0,1-2 Year,Yes,47625.0,26.0,99,0
60,1,28.0,1,1-2 Year,No,48512.0,26.0,240,0
24,1,30.0,1,< 1 Year,No,34979.0,152.0,224,0
44,1,28.0,1,1-2 Year,No,35595.0,124.0,30,0
45,1,46.0,0,1-2 Year,Yes,44513.0,124.0,199,0
24,1,8.0,1,< 1 Year,No,34806.0,160.0,86,0
23,1,47.0,0,< 1 Year,Yes,22839.0,152.0,130,0
26,1,28.0,1,< 1 Year,No,32312.0,152.0,107,0
24,1,11.0,1,< 1 Year,No,28950.0,152.0,76,0
59,1,46.0,1,1-2 Year,No,29680.0,26.0,175,0
23,1,46.0,0,< 1 Year,Yes,39101.0,152.0,274,0
54,1,28.0,0,1-2 Year,Yes,25224.0,125.0,252,0
25,1,3.0,1,< 1 Year,No,33991.0,152.0,101,0
21,1,11.0,1,< 1 Year,No,25059.0,160.0,154,0
23,1,45.0,1,< 1 Year,No,25872.0,152.0,165,0
26,1,46.0,0,< 1 Year,Yes,38181.0,26.0,46,0
55,1,3.0,0,1-2 Year,Yes,2630.0,26.0,247,0
24,1,28.0,0,< 1 Year,Yes,40746.0,152.0,257,1
58,1,28.0,0,> 2 Years,Yes,40202.0,55.0,292,0
21,1,27.0,1,< 1 Year,No,26599.0,152.0,22,0
24,1,28.0,0,< 1 Year,Yes,29378.0,124.0,251,1
20,1,36.0,1,< 1 Year,No,29212.0,160.0,193,0
23,1,47.0,0,< 1 Year,Yes,37494.0,152.0,189,0
65,1,13.0,0,1-2 Year,Yes,20286.0,124.0,191,0
37,1,14.0,1,1-2 Year,No,28826.0,152.0,122,0
78,1,23.0,0,1-2 Year,Yes,27903.0,26.0,87,0
41,1,11.0,0,1-2 Year,Yes,33436.0,124.0,267,0
42,1,41.0,1,1-2 Year,No,31683.0,152.0,177,0
24,1,30.0,0,< 1 Year,Yes,2630.0,152.0,45,0
31,1,8.0,0,< 1 Year,Yes,2630.0,160.0,99,0
35,1,28.0,1,1-2 Year,Yes,2630.0,124.0,61,0
39,1,46.0,1,1-2 Year,No,35170.0,124.0,79,0
25,1,28.0,0,< 1 Year,Yes,47472.0,152.0,54,0
41,1,28.0,0,1-2 Year,Yes,39980.0,26.0,126,0
50,1,28.0,0,1-2 Year,Yes,52740.0,26.0,43,1
26,1,29.0,0,< 1 Year,Yes,40865.0,152.0,231,0
73,1,8.0,0,1-2 Year,No,21935.0,26.0,132,0
26,1,6.0,1,< 1 Year,No,39844.0,152.0,99,0
55,1,37.0,0,1-2 Year,Yes,27960.0,124.0,194,0
74,1,50.0,0,1-2 Year,Yes,47939.0,8.0,190,0
25,1,17.0,1,< 1 Year,No,45498.0,152.0,181,0
63,1,28.0,0,1-2 Year,Yes,51784.0,122.0,187,0
44,1,48.0,0,1-2 Year,Yes,2630.0,26.0,106,0
21,1,46.0,0,< 1 Year,No,20657.0,160.0,19,0
50,1,38.0,1,1-2 Year,No,2630.0,124.0,142,0
24,1,36.0,1,< 1 Year,No,56992.0,152.0,288,0
38,1,8.0,0,1-2 Year,Yes,29097.0,26.0,128,0
36,1,28.0,0,1-2 Year,Yes,28833.0,124.0,173,0
50,1,28.0,0,1-2 Year,No,43878.0,124.0,83,0
51,1,28.0,0,1-2 Year,Yes,50102.0,26.0,249,0
37,1,2.0,0,1-2 Year,No,30561.0,152.0,167,0
21,1,28.0,0,1-2 Year,Yes,2630.0,158.0,240,0
73,1,46.0,1,1-2 Year,No,19902.0,26.0,274,0
38,1,21.0,1,1-2 Year,No,33139.0,26.0,161,0
72,1,8.0,0,1-2 Year,Yes,32433.0,124.0,89,0
44,1,46.0,0,1-2 Year,Yes,27482.0,26.0,14,0
32,1,38.0,0,1-2 Year,Yes,2630.0,157.0,282,0
23,1,30.0,1,< 1 Year,No,29043.0,152.0,134,0
25,1,28.0,0,< 1 Year,Yes,38488.0,122.0,202,1
45,1,30.0,1,1-2 Year,No,26731.0,124.0,205,0
21,1,46.0,1,< 1 Year,No,28825.0,160.0,255,0
25,1,15.0,0,< 1 Year,Yes,30473.0,152.0,210,0
56,1,28.0,0,1-2 Year,Yes,49760.0,155.0,93,0
21,1,27.0,1,< 1 Year,No,34487.0,152.0,201,0
23,1,47.0,0,< 1 Year,No,23807.0,152.0,171,0
22,1,37.0,1,< 1 Year,Yes,26287.0,152.0,126,0
24,1,3.0,1,< 1 Year,No,33002.0,152.0,159,0
38,1,41.0,0,1-2 Year,Yes,46792.0,124.0,116,0
28,1,11.0,0,< 1 Year,No,30406.0,152.0,255,0
24,1,21.0,0,< 1 Year,Yes,2630.0,152.0,177,0
20,1,28.0,0,1-2 Year,Yes,2630.0,158.0,26,0
50,1,3.0,0,1-2 Year,Yes,24179.0,124.0,136,0
32,1,26.0,0,1-2 Year,Yes,32400.0,124.0,131,0
51,1,28.0,1,1-2 Year,No,41926.0,124.0,189,0
30,1,16.0,0,< 1 Year,No,27743.0,152.0,137,0
66,1,28.0,0,1-2 Year,Yes,59399.0,26.0,265,0
21,1,8.0,1,< 1 Year,No,37063.0,160.0,293,0
27,1,30.0,1,< 1 Year,No,41629.0,152.0,75,0
54,1,28.0,0,1-2 Year,Yes,2630.0,26.0,278,0
43,1,28.0,0,1-2 Year,Yes,37104.0,26.0,233,0
25,1,41.0,1,< 1 Year,No,43005.0,152.0,202,0
28,1,16.0,1,< 1 Year,No,19311.0,152.0,168,0
23,1,29.0,1,< 1 Year,No,23205.0,152.0,23,0
44,1,28.0,0,1-2 Year,No,30689.0,26.0,150,1
29,1,41.0,1,< 1 Year,No,27882.0,152.0,15,0
36,1,4.0,0,1-2 Year,Yes,29949.0,124.0,52,0
28,1,28.0,1,< 1 Year,No,65262.0,152.0,75,0
36,1,9.0,0,1-2 Year,Yes,32462.0,152.0,32,0
27,1,50.0,1,< 1 Year,No,27541.0,152.0,95,0
39,1,18.0,0,1-2 Year,Yes,23816.0,124.0,149,0
24,1,6.0,1,< 1 Year,No,28292.0,152.0,79,0
42,1,28.0,0,1-2 Year,Yes,50232.0,124.0,149,0
60,1,8.0,0,1-2 Year,Yes,46016.0,124.0,269,0
29,1,41.0,0,< 1 Year,Yes,35321.0,152.0,125,0
48,1,18.0,0,> 2 Years,Yes,36775.0,26.0,256,0
23,1,46.0,0,< 1 Year,No,23777.0,160.0,140,0
66,1,28.0,0,1-2 Year,Yes,39308.0,26.0,51,0
25,1,36.0,1,< 1 Year,No,26878.0,152.0,232,0
47,1,35.0,1,1-2 Year,No,28691.0,152.0,65,0
40,1,1.0,0,> 2 Years,Yes,2630.0,154.0,224,0
50,1,28.0,0,1-2 Year,Yes,37032.0,26.0,209,0
46,1,21.0,1,1-2 Year,No,2630.0,160.0,65,0
24,1,33.0,1,< 1 Year,No,40200.0,152.0,94,0
24,1,41.0,1,< 1 Year,No,33614.0,152.0,104,0
42,1,28.0,0,1-2 Year,Yes,34761.0,52.0,294,0
24,1,36.0,1,1-2 Year,No,25764.0,154.0,289,0
62,1,39.0,0,1-2 Year,Yes,40460.0,160.0,198,0
25,1,6.0,1,< 1 Year,No,19296.0,152.0,247,0
48,1,9.0,1,1-2 Year,No,2630.0,26.0,119,0
26,1,13.0,0,< 1 Year,No,34635.0,156.0,29,0
58,1,8.0,1,1-2 Year,Yes,42191.0,124.0,78,0
26,1,21.0,1,< 1 Year,No,24936.0,152.0,193,0
50,1,28.0,0,1-2 Year,Yes,2630.0,122.0,132,0
24,1,47.0,1,< 1 Year,No,34168.0,152.0,122,0
43,1,0.0,0,> 2 Years,Yes,2630.0,122.0,143,0
47,1,47.0,0,1-2 Year,No,34545.0,16.0,143,0
28,1,41.0,1,< 1 Year,No,40266.0,152.0,181,0
24,1,36.0,1,< 1 Year,No,30102.0,152.0,263,0
57,1,3.0,1,1-2 Year,No,2630.0,26.0,172,0
32,1,28.0,0,1-2 Year,No,46496.0,124.0,284,0
28,1,41.0,1,< 1 Year,No,35950.0,152.0,160,0
77,1,30.0,1,1-2 Year,No,2630.0,152.0,82,0
58,1,50.0,0,1-2 Year,Yes,36311.0,157.0,297,1
52,1,47.0,1,1-2 Year,No,33167.0,124.0,97,0
22,1,37.0,0,< 1 Year,Yes,36319.0,152.0,248,0
24,1,49.0,1,< 1 Year,No,27183.0,151.0,224,0
66,1,28.0,0,> 2 Years,Yes,66366.0,122.0,218,0
78,1,24.0,1,1-2 Year,No,43989.0,26.0,89,0
23,1,46.0,1,< 1 Year,No,38093.0,152.0,266,0
58,1,14.0,1,1-2 Year,No,39075.0,124.0,115,0
22,1,29.0,1,< 1 Year,No,33620.0,152.0,186,0
22,1,2.0,0,< 1 Year,Yes,31145.0,152.0,257,0
23,1,33.0,1,< 1 Year,No,2630.0,160.0,78,0
21,1,6.0,0,< 1 Year,Yes,29740.0,160.0,219,0
51,1,8.0,0,1-2 Year,Yes,27461.0,122.0,213,0
32,1,30.0,0,< 1 Year,Yes,24553.0,122.0,65,1
44,1,28.0,0,1-2 Year,Yes,40724.0,124.0,277,0
25,1,46.0,1,< 1 Year,No,28189.0,152.0,297,0
24,1,34.0,1,< 1 Year,No,2630.0,152.0,43,0
75,1,39.0,1,1-2 Year,No,34309.0,124.0,299,0
37,1,19.0,0,1-2 Year,Yes,37990.0,124.0,154,1
28,1,21.0,1,< 1 Year,No,29718.0,152.0,236,0
42,1,40.0,0,1-2 Year,Yes,29192.0,124.0,135,0
52,1,46.0,0,1-2 Year,Yes,29009.0,26.0,163,0
26,1,18.0,1,< 1 Year,No,29682.0,152.0,178,0
65,1,28.0,1,1-2 Year,No,26252.0,124.0,222,0
23,1,34.0,0,< 1 Year,Yes,34207.0,152.0,113,0
32,1,15.0,0,< 1 Year,No,2630.0,1.0,138,0
45,1,10.0,0,1-2 Year,Yes,26070.0,124.0,123,1
49,1,42.0,0,1-2 Year,Yes,2630.0,122.0,243,0
66,1,19.0,0,> 2 Years,Yes,2630.0,26.0,227,0
25,1,41.0,1,< 1 Year,No,28409.0,152.0,114,0
51,1,28.0,1,1-2 Year,No,41781.0,124.0,155,0
23,1,46.0,1,< 1 Year,No,28281.0,160.0,18,0
39,1,28.0,0,1-2 Year,Yes,29816.0,124.0,175,1
30,1,28.0,0,1-2 Year,Yes,2630.0,156.0,110,1
25,1,28.0,1,< 1 Year,No,32242.0,152.0,158,0
22,1,30.0,1,< 1 Year,No,35477.0,152.0,27,0
30,1,41.0,1,< 1 Year,No,41656.0,152.0,193,0
44,1,28.0,1,1-2 Year,No,51646.0,52.0,170,0
24,1,27.0,0,< 1 Year,Yes,2630.0,26.0,80,0
23,1,13.0,1,< 1 Year,No,19942.0,152.0,90,0
37,1,36.0,1,1-2 Year,No,27769.0,26.0,34,0
23,1,13.0,1,< 1 Year,No,35050.0,152.0,292,0
50,1,28.0,0,1-2 Year,No,32523.0,26.0,108,0
34,1,3.0,1,1-2 Year,Yes,2630.0,157.0,265,0
24,1,36.0,1,< 1 Year,No,45300.0,152.0,39,0
73,1,13.0,0,1-2 Year,Yes,31155.0,124.0,267,1
79,1,1.0,0,1-2 Year,Yes,2630.0,26.0,254,0
20,1,30.0,0,< 1 Year,Yes,2630.0,160.0,223,0
22,1,39.0,0,< 1 Year,Yes,2630.0,152.0,273,0
59,1,28.0,0,1-2 Year,Yes,2630.0,122.0,193,0
22,1,21.0,1,< 1 Year,No,29783.0,152.0,210,0
50,1,16.0,1,1-2 Year,No,31267.0,26.0,64,0
77,1,40.0,1,1-2 Year,No,2630.0,124.0,233,0
20,1,36.0,0,< 1 Year,No,2630.0,160.0,146,0
26,1,28.0,1,< 1 Year,No,37403.0,152.0,133,0
62,1,28.0,1,1-2 Year,No,48166.0,124.0,240,0
24,1,47.0,1,< 1 Year,Yes,22214.0,152.0,140,0
69,1,28.0,0,1-2 Year,Yes,40600.0,26.0,297,0
23,1,17.0,1,< 1 Year,No,36494.0,151.0,245,0
48,1,41.0,1,1-2 Year,No,48926.0,12.0,122,0
59,1,5.0,0,1-2 Year,Yes,2630.0,124.0,157,0
23,1,23.0,1,< 1 Year,No,2630.0,160.0,280,0
45,1,46.0,0,1-2 Year,Yes,25821.0,26.0,238,1
28,1,46.0,1,< 1 Year,No,23850.0,152.0,209,0
31,1,28.0,0,< 1 Year,Yes,103807.0,124.0,29,0
25,1,15.0,1,< 1 Year,No,23160.0,152.0,286,0
45,1,28.0,0,1-2 Year,Yes,32107.0,26.0,234,0
20,1,46.0,1,< 1 Year,No,19511.0,160.0,126,0
36,1,28.0,0,1-2 Year,Yes,68481.0,124.0,281,0
23,1,15.0,0,< 1 Year,No,22538.0,152.0,201,0
54,1,28.0,1,1-2 Year,No,38921.0,26.0,212,0
38,1,41.0,0,1-2 Year,Yes,37321.0,26.0,192,1
22,1,39.0,1,< 1 Year,No,38333.0,152.0,51,0
21,1,17.0,0,< 1 Year,Yes,48602.0,160.0,133,0
47,1,28.0,0,1-2 Year,Yes,43237.0,26.0,21,1
21,1,15.0,1,< 1 Year,No,64030.0,152.0,151,0
37,1,15.0,0,1-2 Year,Yes,35848.0,124.0,285,0
53,1,34.0,0,1-2 Year,Yes,22576.0,26.0,297,0
22,1,39.0,1,< 1 Year,No,28333.0,152.0,240,0
25,1,24.0,0,< 1 Year,Yes,47029.0,152.0,176,0
57,1,50.0,0,1-2 Year,Yes,2630.0,156.0,138,0
21,1,8.0,1,< 1 Year,No,27790.0,160.0,35,0
53,1,28.0,0,1-2 Year,Yes,50905.0,26.0,97,0
50,1,28.0,0,1-2 Year,No,36844.0,26.0,58,0
24,1,6.0,1,< 1 Year,No,27877.0,152.0,57,0
52,1,3.0,0,1-2 Year,Yes,37451.0,124.0,26,0
58,1,28.0,0,1-2 Year,Yes,44149.0,124.0,279,0
21,1,3.0,0,< 1 Year,Yes,23918.0,152.0,133,0
23,1,28.0,1,< 1 Year,No,36865.0,152.0,231,0
36,1,28.0,0,1-2 Year,Yes,41559.0,122.0,43,0
28,1,35.0,0,< 1 Year,Yes,2630.0,152.0,47,1
37,1,40.0,0,1-2 Year,Yes,29292.0,124.0,49,0
55,1,28.0,0,1-2 Year,Yes,35938.0,122.0,91,1
20,1,17.0,0,< 1 Year,Yes,37766.0,160.0,64,0
27,1,46.0,1,< 1 Year,No,25115.0,152.0,185,0
75,1,28.0,0,> 2 Years,Yes,49275.0,26.0,213,0
36,1,37.0,1,1-2 Year,No,18047.0,152.0,58,0
42,1,48.0,1,1-2 Year,No,2630.0,15.0,145,0
35,1,18.0,0,1-2 Year,Yes,2630.0,157.0,135,0
29,1,46.0,1,< 1 Year,No,31146.0,152.0,105,0
28,1,45.0,1,< 1 Year,No,28111.0,152.0,205,0
63,1,31.0,0,1-2 Year,Yes,2630.0,152.0,234,0
63,1,8.0,0,1-2 Year,No,70595.0,124.0,242,0
46,1,28.0,0,1-2 Year,Yes,24842.0,24.0,297,0
68,1,3.0,0,1-2 Year,Yes,21556.0,26.0,253,0
43,1,45.0,0,1-2 Year,Yes,26340.0,124.0,89,0
62,1,8.0,0,1-2 Year,Yes,40146.0,26.0,197,0
39,1,48.0,1,1-2 Year,No,2630.0,124.0,196,0
22,1,39.0,1,< 1 Year,No,29604.0,152.0,186,0
62,1,41.0,0,1-2 Year,Yes,36418.0,157.0,80,0
21,1,15.0,1,< 1 Year,No,36886.0,160.0,57,0
24,1,43.0,1,< 1 Year,No,32293.0,152.0,220,0
41,1,29.0,0,1-2 Year,Yes,44227.0,124.0,180,1
62,1,48.0,1,1-2 Year,No,2630.0,26.0,48,0
48,1,28.0,0,1-2 Year,Yes,29304.0,61.0,110,0
33,1,34.0,0,< 1 Year,Yes,2630.0,152.0,17,0
24,1,36.0,1,< 1 Year,No,2630.0,152.0,220,0
24,1,40.0,1,< 1 Year,No,18227.0,152.0,71,0
37,1,8.0,1,1-2 Year,No,24950.0,152.0,30,0
47,1,8.0,0,1-2 Year,Yes,48173.0,124.0,227,0
50,1,35.0,0,1-2 Year,Yes,39548.0,31.0,222,0
21,1,32.0,0,< 1 Year,Yes,25594.0,152.0,104,0
53,1,28.0,0,1-2 Year,Yes,36473.0,124.0,198,0
49,1,28.0,0,1-2 Year,Yes,32175.0,157.0,210,0
26,1,11.0,1,< 1 Year,No,53205.0,152.0,215,0
27,1,25.0,0,< 1 Year,Yes,23278.0,151.0,238,0
35,1,24.0,0,1-2 Year,No,33504.0,124.0,82,0
34,1,8.0,0,1-2 Year,Yes,26322.0,124.0,130,1
23,1,10.0,1,< 1 Year,No,25469.0,152.0,246,0
50,1,28.0,0,1-2 Year,Yes,52033.0,26.0,117,1
47,1,50.0,0,> 2 Years,Yes,46607.0,124.0,165,0
73,1,15.0,1,1-2 Year,No,44915.0,26.0,234,0
48,1,28.0,0,1-2 Year,Yes,2630.0,26.0,184,0
49,1,21.0,0,1-2 Year,Yes,31501.0,124.0,73,0
25,1,29.0,1,< 1 Year,No,32471.0,152.0,226,0
29,1,18.0,0,< 1 Year,Yes,29822.0,152.0,22,0
42,1,41.0,0,1-2 Year,Yes,35724.0,152.0,190,0
26,1,45.0,1,< 1 Year,No,22965.0,152.0,158,0
27,1,30.0,1,< 1 Year,No,24026.0,152.0,77,0
25,1,28.0,1,< 1 Year,No,95793.0,152.0,182,0
28,1,30.0,1,< 1 Year,No,33135.0,152.0,18,0
27,1,50.0,1,< 1 Year,No,47675.0,152.0,211,0
22,1,46.0,1,< 1 Year,No,30745.0,152.0,147,0
22,1,46.0,1,< 1 Year,No,35773.0,152.0,180,0
23,1,41.0,1,< 1 Year,No,48300.0,152.0,67,0
49,1,28.0,1,1-2 Year,No,40267.0,124.0,298,0
52,1,28.0,0,> 2 Years,Yes,64254.0,26.0,120,0
22,1,27.0,1,< 1 Year,No,28424.0,26.0,73,0
26,1,15.0,1,< 1 Year,No,2630.0,152.0,228,0
24,1,6.0,1,< 1 Year,No,2630.0,152.0,282,0
48,1,28.0,0,1-2 Year,Yes,2630.0,26.0,249,0
20,1,8.0,0,< 1 Year,Yes,2630.0,1.0,144,0
25,1,15.0,1,< 1 Year,No,36468.0,152.0,268,0
23,1,46.0,1,< 1 Year,No,44926.0,152.0,195,0
65,1,28.0,0,1-2 Year,Yes,36509.0,122.0,230,0
56,1,28.0,0,> 2 Years,Yes,44557.0,26.0,172,1
25,1,33.0,1,< 1 Year,No,38325.0,152.0,78,0
25,1,35.0,0,< 1 Year,Yes,22377.0,152.0,19,0
51,1,28.0,1,1-2 Year,No,41154.0,26.0,224,0
32,1,28.0,1,1-2 Year,No,29858.0,124.0,199,0
44,1,8.0,0,> 2 Years,Yes,30663.0,26.0,241,0
42,1,28.0,1,1-2 Year,No,42959.0,124.0,151,0
39,1,28.0,0,1-2 Year,Yes,77722.0,25.0,179,0
32,1,41.0,0,1-2 Year,Yes,2630.0,157.0,284,0
57,1,28.0,0,> 2 Years,Yes,2630.0,124.0,121,0
64,1,28.0,0,1-2 Year,Yes,45211.0,26.0,111,0
23,1,11.0,1,< 1 Year,No,29959.0,152.0,170,0
48,1,28.0,0,1-2 Year,Yes,30454.0,26.0,102,1
42,1,28.0,1,1-2 Year,No,25707.0,124.0,159,0
58,1,8.0,0,1-2 Year,No,45641.0,25.0,252,0
47,1,26.0,1,1-2 Year,No,2630.0,26.0,253,0
34,1,28.0,0,1-2 Year,Yes,2630.0,26.0,93,1
34,1,28.0,0,1-2 Year,No,37417.0,124.0,140,0
22,1,7.0,1,< 1 Year,No,2630.0,152.0,54,0
24,1,37.0,1,< 1 Year,No,28149.0,152.0,181,0
68,1,28.0,0,> 2 Years,Yes,2630.0,157.0,151,0
35,1,3.0,0,1-2 Year,Yes,2630.0,124.0,270,1
73,1,28.0,0,1-2 Year,Yes,21223.0,26.0,192,1
24,1,37.0,0,1-2 Year,Yes,37974.0,124.0,240,0
29,1,30.0,1,< 1 Year,No,26538.0,152.0,216,0
22,1,46.0,1,< 1 Year,No,23296.0,152.0,184,0
46,1,31.0,0,1-2 Year,Yes,2630.0,163.0,58,0
37,1,45.0,0,1-2 Year,Yes,23925.0,124.0,206,0
25,1,18.0,0,< 1 Year,Yes,2630.0,152.0,89,0
29,1,28.0,0,1-2 Year,Yes,2630.0,157.0,116,0
30,1,41.0,1,< 1 Year,No,23709.0,152.0,231,0
49,1,28.0,0,> 2 Years,Yes,44136.0,26.0,282,0
60,1,9.0,0,1-2 Year,No,41879.0,124.0,172,0
22,1,13.0,1,< 1 Year,No,2630.0,26.0,165,0
60,1,28.0,0,1-2 Year,Yes,28473.0,124.0,267,0
69,1,46.0,1,1-2 Year,No,72377.0,30.0,215,0
21,1,43.0,0,< 1 Year,Yes,41894.0,157.0,217,0
40,1,28.0,0,1-2 Year,Yes,40638.0,124.0,101,0
76,1,39.0,1,1-2 Year,No,45110.0,30.0,217,0
20,1,2.0,0,< 1 Year,No,28730.0,160.0,177,0
25,1,26.0,1,< 1 Year,No,30857.0,152.0,287,0
47,1,28.0,1,1-2 Year,No,53989.0,122.0,271,0
27,1,41.0,1,< 1 Year,No,22723.0,152.0,287,0
28,1,8.0,1,< 1 Year,No,39689.0,152.0,142,0
